simulation_id,max_drawdown_pct,max_drawdown_usdt,max_losing_streak,final_equity_usdt,final_net_pnl_usdt
284,14.2017335,435.51,9,7239.12,6239.12
285,11.58183424,434.13,9,7239.12,6239.12
286,19.32823791,384.34,8,7239.12,6239.12
287,24.857,500.12,9,7239.12,6239.12
288,13.05056174,288.57,8,7239.12,6239.12
289,23.48670765,412.62,11,7239.12,6239.12
290,11.94494764,360.96,9,7239.12,6239.12
291,12.87693732,439.05,13,7239.12,6239.12
292,15.60436731,537.19,9,7239.12,6239.12
293,37.32300774,373.51,11,7239.12,6239.12
294,18.82333042,545.31,12,7239.12,6239.12
295,25.95796703,333.36,13,7239.12,6239.12
296,12.07697248,306.21,11,7239.12,6239.12
297,11.39257233,426.25,10,7239.12,6239.12
298,40.43687365,512.04,10,7239.12,6239.12
299,26.06958361,419.93,18,7239.12,6239.12
300,22.98556481,300.95,10,7239.12,6239.12
301,24.64193149,491.54,14,7239.12,6239.12
302,11.89713039,630.26,8,7239.12,6239.12
303,18.05263997,751.18,10,7239.12,6239.12
304,9.457790564,585.73,8,7239.12,6239.12
305,8.613605333,289.76,10,7239.12,6239.12
306,38.28044773,447.33,9,7239.12,6239.12
307,29.71629976,411.44,12,7239.12,6239.12
308,19.65893352,566.07,10,7239.12,6239.12
309,12.5433178,361.3,8,7239.12,6239.12
310,14.42881273,365.87,9,7239.12,6239.12
311,18.98551685,388.13,7,7239.12,6239.12
312,17.95890373,539.42,12,7239.12,6239.12
313,20.52506426,366.31,11,7239.12,6239.12
314,13.13367078,407.75,10,7239.12,6239.12
315,34.9206073,401.36,21,7239.12,6239.12
316,18.32587903,541.23,9,7239.12,6239.12
317,24.63859537,706.97,8,7239.12,6239.12
318,13.94790387,380.45,11,7239.12,6239.12
319,22.01315956,479.9,9,7239.12,6239.12
320,12.55433658,409.99,10,7239.12,6239.12
321,10.23950804,469.89,13,7239.12,6239.12
322,22.13192283,363.79,10,7239.12,6239.12
323,26.23822337,468.81,9,7239.12,6239.12
324,21.56212543,408.35,11,7239.12,6239.12
325,85.423,854.23,12,7239.12,6239.12
326,22.88496243,339.86,8,7239.12,6239.12
327,9.730228077,494.69,8,7239.12,6239.12
328,11.33631956,516.73,10,7239.12,6239.12
329,10.39455981,515.89,7,7239.12,6239.12
330,34.26957928,690.58,8,7239.12,6239.12
331,24.07,396,9,7239.12,6239.12
332,20.68266563,531.73,7,7239.12,6239.12
333,10.26215888,385.02,9,7239.12,6239.12
334,6.910083995,239.11,8,7239.12,6239.12
335,20.29975768,443.79,11,7239.12,6239.12
336,25.45141114,460.64,9,7239.12,6239.12
337,22.99895605,537.55,11,7239.12,6239.12
338,17.00241358,351.83,10,7239.12,6239.12
339,11.86184098,428.42,11,7239.12,6239.12
340,13.49708994,276.67,10,7239.12,6239.12
341,18.04421479,624.19,10,7239.12,6239.12
342,17.129,336.93,8,7239.12,6239.12
343,25.098,383.2,8,7239.12,6239.12
344,14.7807143,385.84,9,7239.12,6239.12
345,31.66776929,789.81,10,7239.12,6239.12
346,20.06809216,367.81,8,7239.12,6239.12
347,17.00067792,457.95,11,7239.12,6239.12
348,19.775,369.12,9,7239.12,6239.12
349,39.85,398.5,9,7239.12,6239.12
350,17.4686612,371.22,10,7239.12,6239.12
351,9.463850804,363.86,10,7239.12,6239.12
352,11.2630071,609.82,11,7239.12,6239.12
353,8.31379764,384.87,8,7239.12,6239.12
354,41.449,414.49,7,7239.12,6239.12
355,19.65347576,639.32,9,7239.12,6239.12
356,28.88695118,786.96,17,7239.12,6239.12
357,17.65554985,420.85,8,7239.12,6239.12
358,10.57849275,515.85,10,7239.12,6239.12
359,9.018856494,375.17,11,7239.12,6239.12
360,34.56522723,458.01,10,7239.12,6239.12
361,14.13771244,376.91,12,7239.12,6239.12
362,18.39460827,530.85,11,7239.12,6239.12
363,18.40505761,664.06,8,7239.12,6239.12
364,11.58543899,538.08,7,7239.12,6239.12
365,31.76655337,590.68,10,7239.12,6239.12
366,9.091049502,470.88,17,7239.12,6239.12
367,7.277714831,394.84,7,7239.12,6239.12
368,25.57628225,446.7,9,7239.12,6239.12
369,26.30725551,403.99,10,7239.12,6239.12
370,16.29552599,752.66,11,7239.12,6239.12
371,26.48048004,437.77,8,7239.12,6239.12
372,29.635,462.12,9,7239.12,6239.12
373,19.8803164,433.54,9,7239.12,6239.12
374,18.73251029,518.75,7,7239.12,6239.12
375,18.69454415,579.49,11,7239.12,6239.12
376,19.49727762,412.85,8,7239.12,6239.12
377,42.646,426.46,9,7239.12,6239.12
378,40.71177927,457.12,8,7239.12,6239.12
379,10.56,399.52,7,7239.12,6239.12
380,20.92084705,411.08,10,7239.12,6239.12
381,9.39652517,564.36,7,7239.12,6239.12
382,10.1184494,326.54,9,7239.12,6239.12
383,31.531,315.31,10,7239.12,6239.12
384,15.48137876,534.8,9,7239.12,6239.12
385,12.51697388,304.02,10,7239.12,6239.12
386,28.95213923,460.55,16,7239.12,6239.12
387,22.4126872,396.11,10,7239.12,6239.12
388,21.17279969,434.11,12,7239.12,6239.12
389,20.47712569,308.03,9,7239.12,6239.12
390,10.99930477,549.99,11,7239.12,6239.12
391,21.41177791,547.36,11,7239.12,6239.12
392,14.80089582,357.54,8,7239.12,6239.12
393,24.57723821,286.46,9,7239.12,6239.12
394,31.19565591,463.99,11,7239.12,6239.12
395,18.79158455,590.88,8,7239.12,6239.12
396,17.30014538,459.35,9,7239.12,6239.12
397,14.38916727,504.17,9,7239.12,6239.12
398,8.745646927,326.67,7,7239.12,6239.12
399,16.68043331,381.71,13,7239.12,6239.12
400,58.56504469,754.88,13,7239.12,6239.12
401,9.12257826,468.75,10,7239.12,6239.12
402,23.35480916,387.51,9,7239.12,6239.12
403,18.28636957,413.05,12,7239.12,6239.12
404,18.83224721,384.2,10,7239.12,6239.12
405,41.04676743,490.71,8,7239.12,6239.12
406,32.32032625,462.84,12,7239.12,6239.12
407,16.69063986,440.94,9,7239.12,6239.12
408,12.68,573.2,10,7239.12,6239.12
409,11.36531246,577.56,7,7239.12,6239.12
410,17.261,450.97,9,7239.12,6239.12
411,18.15208019,458.91,13,7239.12,6239.12
412,25.45764101,578.95,7,7239.12,6239.12
413,32.98335039,415.18,10,7239.12,6239.12
414,14.22843328,675.64,10,7239.12,6239.12
415,33.78263481,433.09,8,7239.12,6239.12
416,18.34165496,498.86,9,7239.12,6239.12
417,13.51774114,564.97,9,7239.12,6239.12
418,23.687,342.43,7,7239.12,6239.12
419,23.5256632,732.68,10,7239.12,6239.12
420,19.508,290.12,9,7239.12,6239.12
421,15.7702187,819.02,19,7239.12,6239.12
422,16.65213068,424.81,8,7239.12,6239.12
423,18.95460166,340.79,10,7239.12,6239.12
424,28.28767593,427.87,12,7239.12,6239.12
425,10.49427231,590.12,10,7239.12,6239.12
426,15.96118815,548.45,10,7239.12,6239.12
427,49.752,497.52,9,7239.12,6239.12
428,12.21670017,313.9,6,7239.12,6239.12
429,10.22345138,312.05,12,7239.12,6239.12
430,27.63868628,379.21,13,7239.12,6239.12
431,18.51608073,599.42,8,7239.12,6239.12
432,15.53393807,532.07,8,7239.12,6239.12
433,13.59787703,559.04,9,7239.12,6239.12
434,21.16228928,297.4,8,7239.12,6239.12
435,24.70424785,383.74,9,7239.12,6239.12
436,17.7816765,390.21,7,7239.12,6239.12
437,13.91023423,345.75,11,7239.12,6239.12
438,12.6544775,350.9,6,7239.12,6239.12
439,22.533,330.94,9,7239.12,6239.12
440,24.25424006,442.79,12,7239.12,6239.12
441,16.65692814,287.92,10,7239.12,6239.12
442,15.14258787,727.83,16,7239.12,6239.12
443,10.56039197,497.13,8,7239.12,6239.12
444,16.849,479.01,8,7239.12,6239.12
445,11.9083033,374.69,10,7239.12,6239.12
446,13.8755345,349.95,7,7239.12,6239.12
